order_id,customer_id,order_purchase_date,order_status,delivery_days,order_delivered_date,delivery_days_clean,signup_date,state,acquisition_channel,customer_segment,age,item_count,product_revenue,freight_value,primary_category,payment_type,payment_installments,payment_value,review_score,order_month,low_review
O000032,C01006,2025-01-06,delivered,4,2025-01-10,4.0,2025-01-21,CA,Organic,New,42.0,3,170.54,49.18,Fashion,credit_card,6,219.72,5,2025-01,0
O000033,C00389,2024-11-29,delivered,6,2024-12-05,6.0,2025-01-09,NY,Organic,New,29.0,3,212.95,31.46,Books,voucher,6,244.41,2,2024-11,1
O000034,C00553,2024-05-07,delivered,7,2024-05-14,7.0,2024-12-13,TX,Organic,New,27.0,3,135.35,34.85,Beauty,voucher,5,170.2,4,2024-05,0
O000035,C01033,2024-12-22,canceled,9,,,2024-11-02,IL,Paid Search,Returning,40.0,1,28.58,4.91,Grocery,credit_card,1,0.0,2,2024-12,1
O000036,C00426,2024-06-02,delivered,7,2024-06-09,7.0,2024-03-24,CA,Organic,New,50.0,1,26.88,17.31,Sports,debit_card,3,44.19,4,2024-06,0
O000037,C00301,2024-11-17,delivered,5,2024-11-22,5.0,2024-06-01,FL,Social,VIP,35.0,2,73.75,38.31,Grocery,credit_card,1,112.06,5,2024-11,0
O000038,C01099,2024-10-25,canceled,3,,,2024-01-18,CO,Referral,Returning,27.0,2,97.16999999999999,32.25,Home,voucher,6,0.0,2,2024-10,1
O000039,C01158,2025-02-27,delivered,5,2025-03-04,5.0,2024-12-23,CO,Organic,New,45.0,2,91.97,25.080000000000002,Books,credit_card,3,117.05,4,2025-02,0
O000040,C00374,2025-06-02,delivered,7,2025-06-09,7.0,2024-06-05,AZ,Organic,New,31.0,3,115.88,30.339999999999996,Beauty,credit_card,1,146.22,4,2025-06,0
O000041,C00368,2024-05-29,delivered,5,2024-06-03,5.0,2024-05-12,TX,Paid Search,Returning,36.0,2,68.3,37.29,Books,paypal,3,105.59,5,2024-05,0
O000042,C00274,2024-04-23,delivered,8,2024-05-01,8.0,2025-02-06,NY,Social,Returning,35.0,1,30.44,14.73,Beauty,credit_card,3,45.17,5,2024-04,0
O000043,C00029,2024-11-17,delivered,13,2024-11-30,13.0,2024-08-17,FL,Email,Returning,36.0,2,86.59,20.24,Home,credit_card,4,106.83,4,2024-11,0
O000044,C00664,2025-05-22,delivered,9,2025-05-31,9.0,2024-03-26,CO,Referral,Returning,47.0,2,81.75999999999999,25.18,Beauty,paypal,4,106.94,2,2025-05,1
O000045,C00306,2024-05-14,delivered,10,2024-05-24,10.0,2024-02-28,IL,Referral,New,19.0,2,48.239999999999995,19.740000000000002,Grocery,credit_card,2,67.98,4,2024-05,0
O000046,C01019,2024-10-16,delivered,6,2024-10-22,6.0,2024-01-18,CO,Paid Search,New,33.0,1,65.01,16.57,Beauty,paypal,5,81.58,3,2024-10,0
O000047,C00206,2024-09-08,canceled,6,,,2024-04-21,TX,Email,New,18.0,3,90.83,44.0,Beauty,credit_card,2,0.0,1,2024-09,1
O000048,C00763,2024-07-28,delivered,4,2024-08-01,4.0,2025-02-02,WA,Social,New,36.0,2,125.87,21.05,Beauty,paypal,6,146.92,4,2024-07,0
O000049,C00609,2025-01-07,delivered,3,2025-01-10,3.0,2025-02-10,CA,Organic,New,47.0,3,114.63000000000001,48.11,Beauty,credit_card,3,162.74,5,2025-01,0
O000050,C00735,2024-07-17,delivered,9,2024-07-26,9.0,2024-03-28,CO,Email,New,48.0,3,55.32,44.55,Electronics,credit_card,1,99.87,5,2024-07,0
O000051,C00136,2024-10-18,delivered,8,2024-10-26,8.0,2024-05-07,IL,Organic,Returning,42.0,1,56.41,15.58,Books,credit_card,1,71.99,5,2024-10,0
O000052,C00560,2025-04-02,delivered,10,2025-04-12,10.0,2024-12-23,GA,Organic,New,29.0,1,31.59,7.96,Electronics,credit_card,3,39.55,1,2025-04,1
O000053,C00752,2024-08-26,delivered,7,2024-09-02,7.0,2024-03-03,NC,Paid Search,New,48.0,1,44.59,6.45,Grocery,debit_card,5,51.04,5,2024-08,0
O000054,C00410,2024-03-10,delivered,3,2024-03-13,3.0,2024-01-06,FL,Organic,New,29.0,3,126.59,26.0,Home,credit_card,5,152.59,3,2024-03,0
O000055,C01050,2025-04-20,delivered,9,2025-04-29,9.0,2024-02-20,NC,Paid Search,Returning,50.0,3,148.06,40.760000000000005,Beauty,credit_card,5,188.82,5,2025-04,0
O000056,C00636,2024-07-08,delivered,9,2024-07-17,9.0,2024-10-15,TX,Email,New,36.0,3,170.36,54.38,Sports,paypal,2,224.74,5,2024-07,0
O000057,C00436,2025-02-27,delivered,4,2025-03-03,4.0,2024-02-21,IL,Social,New,43.0,3,62.519999999999996,47.72,Electronics,voucher,1,110.24,5,2025-02,0
O000058,C00037,2025-02-22,delivered,5,2025-02-27,5.0,2024-12-26,IL,Organic,Returning,35.0,1,42.21,17.51,Electronics,credit_card,2,59.72,5,2025-02,0
O000059,C00203,2024-11-03,delivered,4,2024-11-07,4.0,2024-07-26,AZ,Email,Returning,39.0,2,124.61,25.25,Grocery,credit_card,6,149.86,3,2024-11,0
O000060,C00572,2024-04-11,delivered,6,2024-04-17,6.0,2024-06-23,GA,Organic,New,49.0,3,60.239999999999995,32.75,Sports,paypal,4,92.99,3,2024-04,0
O000061,C00481,2025-05-21,delivered,5,2025-05-26,5.0,2024-04-30,CA,Paid Search,New,33.0,2,64.33,18.88,Electronics,credit_card,3,83.22,5,2025-05,0
O000062,C01046,2025-01-15,delivered,6,2025-01-21,6.0,2024-03-05,FL,Referral,New,23.0,1,42.33,9.97,Grocery,debit_card,4,52.3,5,2025-01,0
O000063,C00944,2024-09-16,delivered,9,2024-09-25,9.0,2024-07-18,TX,Social,Returning,26.0,2,95.49,35.9,Beauty,debit_card,2,131.39,5,2024-09,0
O000064,C00191,2025-04-06,delivered,3,2025-04-09,3.0,2024-10-14,CA,Organic,New,37.0,2,113.96000000000001,22.08,Beauty,credit_card,5,136.04,5,2025-04,0
O000065,C00710,2025-03-06,delivered,6,2025-03-12,6.0,2024-07-14,CO,Referral,Returning,36.0,3,89.39,37.29,Beauty,credit_card,2,126.68,3,2025-03,0
O000066,C00546,2025-02-21,delivered,6,2025-02-27,6.0,2024-01-23,CA,Organic,New,34.0,3,100.31,41.78,Books,credit_card,4,142.09,4,2025-02,0
O000067,C00122,2024-05-18,delivered,5,2024-05-23,5.0,2024-10-07,NY,Organic,New,40.0,2,116.3,26.47,Beauty,voucher,5,142.77,2,2024-05,1
O000068,C00800,2024-12-23,delivered,11,2025-01-03,11.0,2024-07-04,NY,Email,New,38.0,1,66.7,13.73,Books,credit_card,2,80.43,2,2024-12,1
O000069,C00645,2024-07-13,delivered,2,2024-07-15,2.0,2024-11-19,NY,Paid Search,New,25.0,1,17.95,17.52,Home,credit_card,3,35.47,5,2024-07,0
O000070,C00105,2024-04-06,delivered,7,2024-04-13,7.0,2024-11-30,CA,Referral,Returning,47.0,3,97.58,40.400000000000006,Books,paypal,3,137.98,3,2024-04,0
O000071,C00562,2024-08-06,delivered,5,2024-08-11,5.0,2024-01-19,IL,Organic,New,45.0,3,154.14999999999998,31.150000000000002,Beauty,credit_card,6,185.3,3,2024-08,0
O000072,C00879,2024-04-18,delivered,1,2024-04-19,1.0,2024-08-18,FL,Social,New,19.0,2,88.4,20.0,Beauty,credit_card,6,108.4,4,2024-04,0
O000073,C00393,2024-04-19,delivered,2,2024-04-21,2.0,2024-06-03,GA,Referral,VIP,31.0,2,93.53999999999999,36.75,Books,credit_card,2,130.29,4,2024-04,0
O000074,C00429,2025-02-05,delivered,3,2025-02-08,3.0,2024-01-11,GA,Organic,VIP,54.0,2,94.72,27.419999999999998,Electronics,credit_card,3,122.14,4,2025-02,0
O000075,C00133,2024-10-22,delivered,3,2024-10-25,3.0,2024-02-08,TX,Social,New,38.0,2,36.41,19.94,Electronics,credit_card,3,56.35,4,2024-10,0
O000076,C00246,2024-09-04,delivered,5,2024-09-09,5.0,2024-02-05,AZ,Organic,New,41.0,1,39.77,21.06,Fashion,voucher,3,60.83,5,2024-09,0
O000077,C01178,2024-05-30,delivered,4,2024-06-03,4.0,2024-03-21,NY,Referral,VIP,40.0,2,130.19,21.810000000000002,Beauty,debit_card,4,152.0,5,2024-05,0
O000078,C00745,2025-02-26,processing,8,,,2024-11-29,CO,Paid Search,New,29.0,3,88.72,26.62,Beauty,credit_card,6,115.34,4,2025-02,0
O000079,C00212,2024-12-24,delivered,9,2025-01-02,9.0,2024-10-28,TX,Organic,Returning,35.0,1,20.63,15.47,Grocery,credit_card,4,36.1,4,2024-12,0
O000080,C00580,2024-12-01,delivered,10,2024-12-11,10.0,2024-02-12,CA,Referral,New,30.0,3,60.790000000000006,51.38,Fashion,debit_card,3,112.17,5,2024-12,0
O000081,C00232,2024-05-29,delivered,3,2024-06-01,3.0,2024-12-25,FL,Paid Search,New,27.0,3,103.88,50.81,Electronics,credit_card,2,154.69,5,2024-05,0
O000082,C00532,2024-04-28,delivered,4,2024-05-02,4.0,2024-03-10,FL,Paid Search,New,36.0,2,99.66999999999999,23.86,Beauty,credit_card,4,123.53,3,2024-04,0
O000083,C00175,2024-04-28,delivered,2,2024-04-30,2.0,2024-10-19,TX,Organic,Returning,32.0,2,66.95,32.25,Beauty,voucher,2,99.2,5,2024-04,0
O000084,C00743,2024-03-12,delivered,4,2024-03-16,4.0,2024-09-23,FL,Organic,Returning,45.0,2,70.5,28.220000000000002,Beauty,credit_card,2,98.72,4,2024-03,0
O000085,C00685,2025-05-30,delivered,4,2025-06-03,4.0,2024-03-12,AZ,Social,New,56.0,2,38.379999999999995,15.03,Books,paypal,1,53.41,5,2025-05,0
O000086,C00761,2024-08-20,delivered,4,2024-08-24,4.0,2024-03-14,IL,Referral,VIP,27.0,3,99.34,22.96,Books,paypal,2,122.3,5,2024-08,0
O000087,C00533,2025-01-04,delivered,5,2025-01-09,5.0,2024-03-06,TX,Social,New,18.0,3,71.69,25.080000000000002,Fashion,paypal,3,96.77,3,2025-01,0
O000088,C00344,2025-06-05,delivered,3,2025-06-08,3.0,2024-08-04,NY,Social,New,36.0,1,37.53,11.38,Books,paypal,6,48.91,5,2025-06,0
O000089,C00300,2025-05-15,delivered,5,2025-05-20,5.0,2024-01-10,FL,Organic,New,51.0,1,14.69,7.77,Fashion,credit_card,5,22.46,3,2025-05,0
O000090,C00259,2024-07-29,processing,6,,,2024-03-14,NY,Organic,New,32.0,2,65.53999999999999,9.71,Books,credit_card,2,75.25,1,2024-07,1
O000091,C00516,2024-10-17,delivered,3,2024-10-20,3.0,2024-02-14,TX,Organic,Returning,42.0,2,59.05,28.72,Fashion,debit_card,1,87.77,5,2024-10,0
O000092,C00542,2024-10-04,delivered,6,2024-10-10,6.0,2024-01-24,GA,Organic,New,28.0,2,135.01,24.66,Fashion,paypal,1,159.67,3,2024-10,0
O000093,C00809,2024-03-16,processing,5,,,2024-06-13,NC,Referral,VIP,40.0,1,32.29,15.96,Grocery,paypal,1,48.25,5,2024-03,0
O000094,C00063,2025-02-25,delivered,2,2025-02-27,2.0,2024-06-02,CA,Email,New,25.0,1,16.81,18.39,Books,paypal,1,35.2,5,2025-02,0
O000095,C00339,2024-11-25,delivered,10,2024-12-05,10.0,2024-03-26,AZ,Social,New,36.0,3,198.33,36.59,Beauty,credit_card,1,234.92,3,2024-11,0
O000096,C01024,2024-08-22,delivered,3,2024-08-25,3.0,2024-12-19,TX,Email,Returning,50.0,3,125.2,27.25,Beauty,debit_card,1,152.45,3,2024-08,0
O000097,C01099,2024-11-18,delivered,8,2024-11-26,8.0,2024-01-18,CO,Referral,Returning,27.0,2,55.29,31.450000000000003,Electronics,credit_card,4,86.74,4,2024-11,0
O000098,C01118,2025-02-09,delivered,2,2025-02-11,2.0,2024-09-03,WA,Social,Returning,18.0,1,31.68,14.84,Fashion,credit_card,3,46.52,5,2025-02,0
O000099,C00368,2024-03-08,delivered,3,2024-03-11,3.0,2024-05-12,TX,Paid Search,Returning,36.0,1,58.45,12.99,Sports,credit_card,4,71.44,5,2024-03,0
O000100,C00165,2024-12-29,delivered,5,2025-01-03,5.0,2024-06-24,AZ,Referral,Returning,48.0,2,78.18,23.79,Electronics,voucher,5,101.97,4,2024-12,0
O000101,C00238,2025-04-09,delivered,6,2025-04-15,6.0,2024-06-30,CO,Organic,New,47.0,2,14.49,11.35,Beauty,voucher,5,25.84,3,2025-04,0
O000102,C00159,2025-02-05,delivered,13,2025-02-18,13.0,2024-07-31,TX,Social,Returning,31.0,1,27.31,20.06,Beauty,voucher,3,47.37,1,2025-02,1
O000103,C01146,2024-12-17,delivered,3,2024-12-20,3.0,2024-07-21,WA,Paid Search,New,27.0,3,82.72999999999999,25.810000000000002,Fashion,debit_card,5,108.54,4,2024-12,0
O000104,C01061,2024-04-12,delivered,4,2024-04-16,4.0,2024-11-19,TX,Paid Search,VIP,27.0,3,141.21,36.239999999999995,Books,credit_card,4,177.45,5,2024-04,0
O000105,C00973,2025-02-14,delivered,2,2025-02-16,2.0,2024-07-19,FL,Email,New,40.0,2,50.76,35.58,Books,credit_card,3,86.34,5,2025-02,0
O000106,C00876,2025-02-16,delivered,6,2025-02-22,6.0,2024-07-30,FL,Paid Search,New,29.0,2,78.96000000000001,38.03,Beauty,voucher,4,116.99,5,2025-02,0
O000107,C00412,2024-10-19,delivered,5,2024-10-24,5.0,2024-04-06,WA,Paid Search,New,46.0,3,62.19,17.47,Home,credit_card,5,79.66,4,2024-10,0
O000108,C00571,2024-11-29,canceled,6,,,2025-02-02,NY,Paid Search,Returning,39.0,1,38.1,17.07,Fashion,credit_card,3,0.0,4,2024-11,0
O000109,C01010,2024-12-16,delivered,8,2024-12-24,8.0,2024-08-06,NY,Organic,Returning,44.0,3,126.0,44.62,Books,credit_card,2,170.62,2,2024-12,1
O000110,C00978,2024-04-26,delivered,5,2024-05-01,5.0,2024-08-28,NC,Paid Search,New,30.0,2,50.14,33.480000000000004,Electronics,credit_card,5,83.62,3,2024-04,0
O000111,C00623,2024-06-30,delivered,4,2024-07-04,4.0,2024-03-10,AZ,Social,New,33.0,2,84.69999999999999,23.17,Beauty,debit_card,6,107.87,5,2024-06,0
O000112,C01006,2025-03-08,delivered,3,2025-03-11,3.0,2025-01-21,CA,Organic,New,42.0,3,111.50999999999999,36.83,Beauty,credit_card,4,148.34,5,2025-03,0
O000113,C00417,2025-06-01,delivered,5,2025-06-06,5.0,2025-02-11,IL,Organic,Returning,25.0,1,56.12,10.63,Home,credit_card,4,66.75,4,2025-06,0
O000114,C00497,2024-07-05,delivered,7,2024-07-12,7.0,2024-02-19,CA,Referral,Returning,43.0,2,51.37,30.84,Beauty,debit_card,3,82.21,4,2024-07,0
O000115,C01008,2024-09-05,delivered,3,2024-09-08,3.0,2024-07-30,CA,Referral,New,34.0,1,8.66,13.2,Sports,voucher,4,21.86,1,2024-09,1
O000116,C00452,2025-05-05,canceled,4,,,2025-01-23,TX,Social,New,52.0,2,59.08,20.8,Grocery,debit_card,6,0.0,3,2025-05,0
O000117,C00903,2024-05-16,delivered,5,2024-05-21,5.0,2024-04-02,NY,Paid Search,Returning,19.0,1,30.96,19.94,Beauty,credit_card,2,50.9,5,2024-05,0
O000118,C00544,2024-07-01,delivered,3,2024-07-04,3.0,2024-03-14,NC,Organic,New,28.0,2,69.99,32.010000000000005,Fashion,paypal,4,102.0,2,2024-07,1
O000119,C00358,2024-03-27,delivered,8,2024-04-04,8.0,2025-01-09,FL,Organic,New,35.0,3,116.91,48.260000000000005,Home,debit_card,5,165.17,2,2024-03,1
O000120,C00263,2024-06-19,delivered,6,2024-06-25,6.0,2024-05-05,GA,Paid Search,New,40.0,1,43.71,9.33,Beauty,paypal,5,53.04,4,2024-06,0
O000121,C00729,2024-12-25,delivered,7,2025-01-01,7.0,2024-07-24,CA,Social,Returning,25.0,1,23.02,7.5,Beauty,credit_card,5,30.52,3,2024-12,0
O000122,C00576,2024-08-11,delivered,9,2024-08-20,9.0,2024-06-05,GA,Organic,New,25.0,2,108.16,31.090000000000003,Books,debit_card,2,139.25,3,2024-08,0
O000123,C00444,2025-06-06,delivered,3,2025-06-09,3.0,2024-07-24,IL,Organic,New,48.0,1,52.05,4.07,Electronics,paypal,4,56.12,4,2025-06,0
O000124,C00892,2025-04-24,processing,4,,,2024-10-25,NC,Paid Search,Returning,47.0,3,87.36,37.3,Beauty,credit_card,1,124.66,2,2025-04,1
O000125,C00002,2025-04-26,delivered,1,2025-04-27,1.0,2024-11-21,GA,Referral,Returning,44.0,1,25.95,17.68,Sports,credit_card,4,43.63,5,2025-04,0
O000126,C00111,2025-02-05,delivered,8,2025-02-13,8.0,2024-04-26,CO,Organic,New,35.0,1,78.61,6.15,Electronics,credit_card,4,84.76,4,2025-02,0
O000127,C01155,2025-01-24,delivered,2,2025-01-26,2.0,2024-05-08,NY,Paid Search,Returning,21.0,2,86.85,15.44,Electronics,paypal,2,102.29,3,2025-01,0
O000128,C00797,2024-10-26,delivered,2,2024-10-28,2.0,2025-02-10,FL,Organic,Returning,18.0,3,137.79000000000002,29.43,Beauty,credit_card,6,167.22,1,2024-10,1
O000129,C00660,2025-06-09,delivered,6,2025-06-15,6.0,2024-05-01,CO,Paid Search,New,52.0,1,46.72,4.49,Grocery,credit_card,3,51.21,5,2025-06,0
O000130,C00018,2024-04-14,delivered,2,2024-04-16,2.0,2024-02-23,NY,Paid Search,New,43.0,1,52.92,10.08,Beauty,voucher,4,63.0,5,2024-04,0
O000131,C00719,2025-02-03,delivered,2,2025-02-05,2.0,2024-04-08,GA,Paid Search,VIP,51.0,2,41.84,13.620000000000001,Electronics,credit_card,2,55.46,3,2025-02,0
O000132,C00522,2024-05-05,processing,7,,,2024-03-02,TX,Organic,Returning,40.0,1,32.66,5.63,Grocery,credit_card,5,38.29,4,2024-05,0
O000133,C00720,2024-08-07,delivered,4,2024-08-11,4.0,2024-09-08,NC,Organic,New,30.0,3,108.39,44.09,Electronics,credit_card,3,152.48,4,2024-08,0
O000134,C00050,2024-06-29,processing,1,,,2024-11-22,TX,Social,New,28.0,3,69.0,46.27,Sports,paypal,6,115.27,5,2024-06,0
O000135,C00661,2024-12-08,delivered,5,2024-12-13,5.0,2024-03-15,TX,Social,New,48.0,3,174.60000000000002,50.24,Beauty,credit_card,6,224.84,5,2024-12,0
O000136,C00694,2025-03-05,delivered,7,2025-03-12,7.0,2025-02-01,CA,Email,New,44.0,1,20.44,10.8,Grocery,voucher,2,31.24,5,2025-03,0
O000137,C00349,2024-04-07,delivered,6,2024-04-13,6.0,2024-03-16,NC,Social,Returning,23.0,1,43.4,7.92,Home,debit_card,5,51.32,5,2024-04,0
O000138,C00066,2024-12-08,delivered,6,2024-12-14,6.0,2024-05-16,IL,Social,New,41.0,2,39.31,19.52,Home,paypal,1,58.83,5,2024-12,0
O000139,C01166,2024-06-13,delivered,2,2024-06-15,2.0,2024-02-14,TX,Paid Search,New,28.0,3,138.51,48.16,Beauty,credit_card,2,186.67,5,2024-06,0
O000140,C00852,2024-04-06,delivered,8,2024-04-14,8.0,2024-12-02,WA,Paid Search,New,57.0,1,10.26,21.83,Home,credit_card,1,32.09,4,2024-04,0
O000141,C00747,2024-09-13,delivered,1,2024-09-14,1.0,2024-08-11,NY,Email,New,33.0,2,90.64,23.77,Books,paypal,4,114.41,4,2024-09,0
O000142,C00921,2024-11-29,delivered,7,2024-12-06,7.0,2025-01-01,CA,Paid Search,New,32.0,2,47.6,31.61,Beauty,credit_card,3,79.21,5,2024-11,0
O000143,C00806,2024-06-03,delivered,5,2024-06-08,5.0,2024-11-24,CA,Organic,New,35.0,1,55.44,15.72,Grocery,credit_card,3,71.16,5,2024-06,0
O000144,C00162,2024-08-31,delivered,3,2024-09-03,3.0,2024-10-06,TX,Paid Search,VIP,31.0,3,132.17000000000002,48.0,Beauty,credit_card,2,180.17,5,2024-08,0
O000145,C00546,2025-05-23,delivered,7,2025-05-30,7.0,2024-01-23,CA,Organic,New,34.0,2,45.730000000000004,37.57,Beauty,debit_card,2,83.3,1,2025-05,1
O000146,C01067,2024-08-10,canceled,2,,,2025-01-23,NC,Paid Search,New,43.0,3,127.19999999999999,51.18,Beauty,credit_card,5,0.0,2,2024-08,1
O000147,C00346,2025-06-11,delivered,6,2025-06-17,6.0,2024-04-17,CA,Email,Returning,36.0,2,102.85,20.54,Beauty,credit_card,2,123.39,4,2025-06,0
O000148,C01167,2025-03-28,delivered,6,2025-04-03,6.0,2024-01-10,CO,Organic,New,45.0,1,42.43,3.78,Beauty,paypal,6,46.21,4,2025-03,0
O000149,C00078,2024-08-22,delivered,4,2024-08-26,4.0,2024-04-05,FL,Organic,Returning,37.0,3,239.19,39.01,Books,credit_card,5,278.2,5,2024-08,0
O000150,C00397,2024-11-27,delivered,13,2024-12-10,13.0,2024-01-19,WA,Organic,New,21.0,1,46.61,16.06,Sports,credit_card,1,62.67,2,2024-11,1
O000151,C00421,2025-01-28,canceled,3,,,2025-01-24,AZ,Paid Search,Returning,46.0,3,138.09,17.419999999999998,Beauty,voucher,3,0.0,4,2025-01,0
O000152,C00741,2024-10-05,delivered,8,2024-10-13,8.0,2024-12-09,TX,Paid Search,New,36.0,3,113.89000000000001,44.93,Books,credit_card,5,158.82,4,2024-10,0
O000153,C00212,2024-09-08,delivered,6,2024-09-14,6.0,2024-10-28,TX,Organic,Returning,35.0,3,66.81,31.33,Fashion,credit_card,3,98.14,4,2024-09,0
O000154,C00275,2024-08-02,delivered,5,2024-08-07,5.0,2024-06-24,IL,Paid Search,Returning,31.0,1,30.2,15.75,Sports,credit_card,3,45.95,4,2024-08,0
O000155,C00795,2024-05-05,canceled,5,,,2024-06-30,NC,Organic,New,39.0,1,41.48,5.69,Fashion,paypal,1,0.0,1,2024-05,1
O000156,C00342,2024-03-12,delivered,4,2024-03-16,4.0,2024-05-02,NC,Paid Search,Returning,25.0,1,16.6,5.9,Books,credit_card,3,22.5,4,2024-03,0
O000157,C01055,2024-08-06,delivered,4,2024-08-10,4.0,2024-02-02,CO,Social,Returning,30.0,3,61.13,52.42,Books,paypal,3,113.55,3,2024-08,0
